series_id,name,units,f,date,amount
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201211,5785
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201210,5557
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201209,5960
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201208,6238
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201207,6281
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201206,6204
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201205,4643
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201204,4641
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201203,6288
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201202,5638
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201201,6644
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201112,6232
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201111,5616
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201110,5479
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201109,5099
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201108,5688
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201107,5680
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201106,5989
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201105,6313
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201104,5626
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201103,5358
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201102,5225
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201101,6696
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201012,6006
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201011,6438
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201010,6629
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201009,6661
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201008,7451
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201007,6702
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201006,6350
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201005,6783
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201004,6335
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201003,6242
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201002,6385
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201001,5626
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,200912,5862
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,200911,6258
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,200910,6887
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,200909,6509
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,200908,7665
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,200907,8182
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,200906,7230
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,200905,6672
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,200904,5239
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,200903,7243
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,200902,5954
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,200901,6488
